,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf
povray_1,0.0,0.0,873912.234929709,374985.65690857003,0.0,763979.5610083841,0.0,763979.5610083841,495627.2613257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193851.010110065,193155.498981144,1493140.8059610229,0.0,0.0,0.0,0.0
nab_0,0.0,0.0,482443.289846709,200847.01588294,0.0,345987.7060030721,0.0,345987.7060030721,400945.85428401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155323.38550455897,187329.47722150397,1223873.972657355,0.0,0.0,0.0,0.0
mcf_2,0.0,0.0,2040103.4550744432,974208.74529253,0.0,2123213.380456448,0.0,2123213.380456448,1563040.72971144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256040.901288074,350909.1844545,1890627.3820101558,0.0,0.0,0.0,0.0
parest_2,0.0,0.0,605740.3056389691,254268.47628057,0.0,480039.87580236804,0.0,480039.87580236804,412354.09033924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157871.40801911498,240322.1109098,1248573.2142356338,0.0,0.0,0.0,0.0
gcc_0,0.0,0.0,1194433.1767580651,539389.18927212,0.0,1142179.3969967363,0.0,1142179.3969967363,748152.24012277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213941.58603654098,243405.375080912,1609428.280692129,0.0,0.0,0.0,0.0
bwaves_1,0.0,0.0,705090.0338938701,288720.32491048,0.0,543709.8920055041,0.0,543709.8920055041,459908.1604215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181123.630067756,190364.05385251998,1426150.2467472388,0.0,0.0,0.0,0.0
perlbench_2,0.0,0.0,801930.099354433,373497.99529187003,0.0,834997.0540244482,0.0,834997.0540244482,250417.97474792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138539.955173358,166745.05710813196,1086035.032716804,0.0,0.0,0.0,0.0
cactuBSSN_2,0.0,0.0,144012.768578313,59625.75032163999,0.0,9170.526643712,0.0,9170.526643712,465083.62154821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139228.793115281,357274.611246772,1041721.6214198859,0.0,0.0,0.0,0.0
xalancbmk_1,0.0,0.0,1154459.52368331,534881.87093149,0.0,1168618.4762613762,0.0,1168618.4762613762,660043.60863091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176717.076174873,292041.213799268,1347458.6466182508,0.0,0.0,0.0,0.0
cactuBSSN_0,0.0,0.0,135678.486956508,55661.55335838,0.0,1480.9510938880003,0.0,1480.9510938880003,467646.84464316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140932.143192089,366939.71417911595,1051324.953482884,0.0,0.0,0.0,0.0
nab_1,0.0,0.0,395179.77000217704,163343.52912396,0.0,271002.11817369604,0.0,271002.11817369604,348478.95521999005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138380.444397218,182523.854049588,1103115.408745626,0.0,0.0,0.0,0.0
fotonik3d_2,0.0,0.0,737981.1670137611,334205.65447171,0.0,712487.6902581761,0.0,712487.6902581761,324905.81591034005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148606.139525884,156052.9453366,1164199.3551805029,0.0,0.0,0.0,0.0
exchange2_0,0.0,0.0,796880.374952619,352228.91905705,0.0,740136.8013338881,0.0,740136.8013338881,419570.67479250004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169061.41587308698,155955.645946916,1310415.9320537038,0.0,0.0,0.0,0.0
roms_0,0.0,0.0,326588.906430324,122026.84480687999,0.0,159382.816982144,0.0,159382.816982144,420500.20754504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148811.588689883,241044.532095292,1187348.965841105,0.0,0.0,0.0,0.0
deepsjeng_2,0.0,0.0,892664.286313086,388816.77398918,0.0,757656.8626869761,0.0,757656.8626869761,716739.99738488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202392.90632661502,209223.280235884,1536058.8264659168,0.0,0.0,0.0,0.0
exchange2_2,0.0,0.0,779463.984036361,342897.03439959005,0.0,718532.5544803841,0.0,718532.5544803841,400147.0892314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169263.611928392,156186.430142624,1313944.297166873,0.0,0.0,0.0,0.0
