,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
gcc_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70425.20611132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196247.853250465,177215.83303046,1483394.021768428,0.0,0.0,0.0,0.0,1.927282914160673,0.091839,0.5975339959511999,2.524816910111873,0.23187666020776432,0.021295320596820867
perlbench_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44562.71441896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138539.955173358,166745.05710813196,1086035.032716804,0.0,0.0,0.0,0.0,1.435882759417254,0.086701,0.5641045196807999,1.999987279098054,0.17340089708508039,0.015034031178173554
perlbench_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44541.14728171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138542.72348835098,166743.799944512,1086057.6362587288,0.0,0.0,0.0,0.0,1.4358853069733017,0.086701,0.5641045196807999,1.9999898266541016,0.17340111796073726,0.015034050328313881
perlbench_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44584.452537770005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138541.30740022002,166700.3840083,1086039.647286945,0.0,0.0,0.0,0.0,1.435865791233235,0.086678,0.5639548743024,1.9998206655356352,0.1733404556472978,0.01502480401459648
cactuBSSN_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333222.14005472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139701.719476353,359693.31390848,1040880.0097170989,0.0,0.0,0.0,0.0,1.8734971831566518,0.187028,1.2168641665823998,3.0903613497390516,0.5779841025189953,0.10809921072592266
cactuBSSN_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315027.4433134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140932.143192089,366939.71417911595,1051324.953482884,0.0,0.0,0.0,0.0,1.874224254167489,0.190796,1.2413799833567998,3.1156042375242885,0.5944448261026841,0.11341769504108772
fotonik3d_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48480.07302828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148606.139525884,156052.9453366,1164199.3551805029,0.0,0.0,0.0,0.0,1.5173385130712669,0.081066,0.5274414019728,2.044779915044067,0.16576212859296233,0.013437672716517083
fotonik3d_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48484.004790089995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148631.882766134,156102.286939248,1164385.728139439,0.0,0.0,0.0,0.0,1.5176039026349109,0.081091,0.5276040599927999,2.045207962627711,0.1658479588974437,0.013448776834952606
fotonik3d_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48482.31099928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148638.148157697,156070.45130893198,1164427.2936810618,0.0,0.0,0.0,0.0,1.5176182041469708,0.081075,0.5274999588599999,2.0451181630069706,0.16580795506579013,0.013442879956958934
cactuBSSN_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305104.23300161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139228.793115281,357274.611246772,1041721.6214198859,0.0,0.0,0.0,0.0,1.8433292587835488,0.185771,1.2086857213367999,3.0520149801203487,0.5669758748719372,0.10532767525083465
povray_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65670.76743706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180584.777882341,174182.68413263198,1399796.607931454,0.0,0.0,0.0,0.0,1.8202348373834871,0.090362,0.5879241601295999,2.408158997513087,0.21760606333327756,0.019663319094921628
xalancbmk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141684.83700198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176717.076174873,292041.213799268,1347458.6466182508,0.0,0.0,0.0,0.0,1.9579017735943718,0.151573,0.9861825626184,2.9440843362127715,0.44624369509277845,0.06763849559629771
