,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf
povray_1,0.0,0.0,674944.8577523881,315563.78141413,54037.21993106,631126.7479820801,0.0,631126.7479820801,345219.81848053,438120.00501983,0.0,0.0,0.0,0.0,0.0,0.0,169997.06529923697,137590.853876336,1270444.469941567,0.0,119070.93150212,0.0,0.0
nab_0,0.0,0.0,473666.23702453205,202004.96126669,39605.85117596,348125.08528537606,0.0,348125.08528537606,279785.70926003397,131918.17220582,0.0,0.0,0.0,0.0,0.0,0.0,156590.63788562,146309.90479164402,1223669.55793877,0.0,130570.36646653,0.0,0.0
mcf_2,0.0,0.0,1768710.8018935062,866308.1136257601,145174.3479328,1870457.380308608,0.0,1870457.380308608,1052156.86131396,1387671.21182109,0.0,0.0,0.0,0.0,0.0,0.0,233464.21092913699,313839.12545816397,1693575.996248324,0.0,256792.14769401198,0.0,0.0
parest_2,0.0,0.0,475410.87852034107,219088.19316348998,38563.44700075,400950.9141926401,0.0,400950.9141926401,280772.680111302,244629.20154281,0.0,0.0,0.0,0.0,0.0,0.0,146072.085021226,198221.06623729598,1111923.150533759,0.0,156913.696166127,0.0,0.0
gcc_0,0.0,0.0,979797.9245770541,464587.22306432,75302.06067728,972931.4215425282,0.0,972931.4215425282,504648.862127286,622202.02900429,0.0,0.0,0.0,0.0,0.0,0.0,189191.249900432,191034.031340908,1395513.890126376,0.0,170040.80057687702,0.0,0.0
bwaves_1,0.0,0.0,590787.2003033011,259900.61726931,47355.27491939,484817.39849446405,0.0,484817.39849446405,310420.36817656603,262801.94432135,0.0,0.0,0.0,0.0,0.0,0.0,164839.61467016398,109293.66070084,1272011.534400835,0.0,106396.78933117,0.0,0.0
perlbench_2,0.0,0.0,761532.4034833091,373128.22943749,26488.34445851,834097.6757792,0.0,834097.6757792,193720.222492736,186909.78846673,0.0,0.0,0.0,0.0,0.0,0.0,138443.448216434,106962.46128477599,1039242.448603706,0.0,96208.827370302,0.0,0.0
cactuBSSN_2,0.0,0.0,136153.99019771,59614.770408699995,34514.407033339994,9159.489408384,0.0,9159.489408384,322831.575519652,137978.56585268,0.0,0.0,0.0,0.0,0.0,0.0,139231.339869146,357161.830914132,1033992.7033572339,0.0,241563.287008281,0.0,0.0
xalancbmk_1,0.0,0.0,1063189.987638368,502064.75410191,59238.25712854,1093735.7745592322,0.0,1093735.7745592322,451513.574222974,417465.72562751,0.0,0.0,0.0,0.0,0.0,0.0,167974.333340256,260294.37500837998,1274933.8087352598,0.0,226965.174563262,0.0,0.0
cactuBSSN_0,0.0,0.0,127770.02343473,55639.2125406,34122.99408444,1470.5603055360002,0.0,1470.5603055360002,324416.668697202,139046.01765355,0.0,0.0,0.0,0.0,0.0,0.0,140952.943077569,366781.235430444,1044304.635208471,0.0,244473.874267299,0.0,0.0
