,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
gcc_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144175.544825935,319863.83986986,0.0,0.0,0.0,0.0,0.0,0.0,160670.446011468,122081.405515808,1168554.309055591,0.0,103804.46274929501,0.0,0.0,2.0191500080279567,0.063321,0.48518758836479997,2.5043375963927565,0.15857716094118574,0.010041264407956822
perlbench_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85441.82064615001,242708.02983502997,0.0,0.0,0.0,0.0,0.0,0.0,138443.448216434,106962.46128477599,1039242.448603706,0.0,96208.827370302,0.0,0.0,1.7090070359563978,0.055617,0.42615685320959995,2.1351638891659976,0.11875141002374529,0.006604597171290642
perlbench_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85440.348809405,242690.29726613,0.0,0.0,0.0,0.0,0.0,0.0,138444.16254053498,106965.738376964,1039254.719522681,0.0,96211.12494544801,0.0,0.0,1.709006391461163,0.055618,0.42616451555839996,2.135170907019563,0.11875393550661406,0.006604856385006861
perlbench_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85380.322408715,242535.22262074,0.0,0.0,0.0,0.0,0.0,0.0,138443.974553908,106985.44150405598,1039304.5501456929,0.0,96232.97719692701,0.0,0.0,1.7088824884300389,0.055628,0.42624113904639993,2.135123627476439,0.11877265714925933,0.006607085371898998
cactuBSSN_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230112.872589705,193701.70206031,0.0,0.0,0.0,0.0,0.0,0.0,139764.763353058,359672.317900692,1034658.212678968,0.0,242075.834827774,0.0,0.0,2.199985703410507,0.187018,1.4329971478783998,3.632982851288907,0.6794331868823488,0.1270662357443631
cactuBSSN_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217719.197706435,190239.21400809,0.0,0.0,0.0,0.0,0.0,0.0,140952.943077569,366781.235430444,1044304.635208471,0.0,244473.874267299,0.0,0.0,2.204471099698308,0.190714,1.4613171890431997,3.665788288741508,0.699117147699048,0.13333142770627623
fotonik3d_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64875.27282764,243302.78124841,0.0,0.0,0.0,0.0,0.0,0.0,144589.37192749197,120198.18026769199,1091647.9827341689,0.0,104594.684373394,0.0,0.0,1.7692082733787968,0.062478,0.47872822832639994,2.2479365017051967,0.14044657675353728,0.008774821222407502
fotonik3d_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64857.64875701,243256.81995359,0.0,0.0,0.0,0.0,0.0,0.0,144586.248664373,120207.904571772,1091640.7491159248,0.0,104599.55406061301,0.0,0.0,1.769148925123283,0.062483,0.4787665400703999,2.247915465193683,0.14045650201169688,0.008776143615196855
fotonik3d_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64850.107314375,243305.20517544998,0.0,0.0,0.0,0.0,0.0,0.0,144587.20058314898,120205.214953348,1091634.356111673,0.0,104595.043879668,0.0,0.0,1.7691771280176627,0.062482,0.4787588777216,2.2479360057392626,0.1404555375106006,0.008775942894737347
cactuBSSN_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211059.69185657,188581.30035944,0.0,0.0,0.0,0.0,0.0,0.0,139231.339869146,357161.830914132,1033992.7033572339,0.0,241563.287008281,0.0,0.0,2.1715901533648028,0.185712,1.4229901203455997,3.5945802737104025,0.6675566917913062,0.12397328834594705
povray_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81795.03987633,328495.06352772,0.0,0.0,0.0,0.0,0.0,0.0,156419.579212601,116189.19488110399,1170042.962331466,0.0,101366.551307126,0.0,0.0,1.9543083911363468,0.060307,0.4620932690816,2.4164016602179466,0.1457259349227637,0.00878829395738711
