,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
gcc_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154939.02330392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163076.094747691,499976.89866532397,1241062.841832892,0.0,332931.224387158,0.0,0.0,2.391986082936985,0.064933,1.5490888672776,3.9410749502145848,0.25590581974228366,0.016616732593325707
perlbench_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78140.27023696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138464.412240814,465121.7973059199,1088357.008247864,0.0,316710.59215395304,0.0,0.0,2.0867940801855105,0.060462,1.4424254399663998,3.5292195201519103,0.2133836706274248,0.012901603493475359
perlbench_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78243.94092314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138465.263474538,465070.06525466,1088342.437174528,0.0,316669.135367504,0.0,0.0,2.08679084219437,0.060455,1.442258442876,3.5290492850703696,0.2133486745289292,0.012897994118646415
perlbench_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78199.33424157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138465.12377829,465108.480316996,1088350.5105848168,0.0,316696.880344303,0.0,0.0,2.0868203292659757,0.06046,1.442377726512,3.5291980557779756,0.2133753144523364,0.012900671511788258
cactuBSSN_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332095.75837437995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140440.99684080802,1418492.362033096,1049288.319572605,0.0,843734.4942522941,0.0,0.0,3.7840519310731833,0.184392,4.3989896418624,8.183041572935583,1.508887401716738,0.2782267657773527
cactuBSSN_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313341.85609031003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145857.87995313702,1449420.4362344518,1090746.530032073,0.0,865443.001888267,0.0,0.0,3.8648097041982385,0.188412,4.494893685206399,8.359703389404638,1.5750684350045066,0.29676179397606905
fotonik3d_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78237.60459339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144965.635074822,494537.578750636,1143159.2065819888,0.0,325748.28828066605,0.0,0.0,2.186648313281503,0.064277,1.5334388542344,3.720087167515903,0.2391160428664197,0.01536966188732486
fotonik3d_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78230.49349554999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144964.961780291,494510.786183852,1143154.449963007,0.0,325731.52122020803,0.0,0.0,2.1865922126429083,0.064273,1.5333434273255997,3.719935639968508,0.2390914233876959,0.015367123055397378
fotonik3d_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78241.83525417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144965.915146871,494487.64675311197,1143170.524802324,0.0,325701.066145122,0.0,0.0,2.1865669881015988,0.06427,1.5332718571439998,3.7198388452455986,0.2390740425839346,0.015365288716869476
cactuBSSN_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305094.16690326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140619.833225338,1405648.2972161518,1055464.8736352609,0.0,835539.452660181,0.0,0.0,3.7423666236401916,0.182722,4.359148907438399,8.10151553107859,1.480325120869742,0.270487966735561
