,RegIntRegfile,RegFloatRegfile,RegMiscRegfile,CAMIntScheduler,CAMFloatScheduler,CAMIntSchedulerSearch,CAMFloatSchedulerSearch
povray_1,930746.2927387999,340990.33524452,208310.11019931998,116807.35527189699,43107.93710631,289740.81283465,119195.8675392
nab_0,628414.3926482,763478.0648932,667205.2838004,74950.393441054,83518.905383923,169250.81455705,231514.34434315
mcf_2,1660724.0665664799,0.0,0.0,269414.028914309,0.0,492971.67132835,0.0
parest_2,859560.2362324799,404507.9442204,188730.33154319998,96089.810868605,44428.312022115,233633.80765075,138691.8296054
gcc_0,1244247.7800373998,84.52907823999999,92.32029087999999,184826.59864460898,17.142175875,428659.8087044,30.13272765
bwaves_1,1220107.700153,28605.54402028,25685.705913879996,127349.38737130299,3473.408369511,365758.8251223,9275.12171425
perlbench_2,1067900.91746976,0.0,733.3984021999999,128308.94683605299,0.0,371390.0148556,0.0
cactuBSSN_2,818115.8456886399,404022.71382744,252595.76919367997,114290.01239702801,49031.371564545996,215340.68494705,156149.04812355
xalancbmk_1,1159114.4540229598,7152.6544034,4142.42599896,173384.313780108,1375.821395408,394724.42812915,3631.87666155
cactuBSSN_0,844717.2537460399,400382.05730044,236632.59562131995,117334.66478171299,49866.180130062,215175.0357223,156245.49439265
nab_1,652982.67694884,615024.0922506,521188.89551883994,69687.576092551,61137.66665501,179994.3714784,191509.01945945
fotonik3d_2,1125149.57798828,0.0,647.2279421999999,136387.901145885,0.0,378751.0686448,0.0
exchange2_0,1122035.42564272,0.0,0.0,133879.541733375,0.0,379835.3046108,0.0
roms_0,869904.3023644799,642314.02452544,412518.41706987994,75314.863301898,79861.395461874,156181.06936935,215355.15058755002
deepsjeng_2,1223993.92842092,0.0,0.0,150038.21974808298,0.144812834,393189.01644945,0.0
exchange2_2,1115975.66446184,0.0,0.0,132975.769922178,0.0,379080.484147,0.0
wrf_2,721402.4073787199,694083.9592692,455062.81419243995,68782.29821139699,77995.95500516299,143845.586352,227927.20346405
wrf_1,717619.04151184,483069.12008468,384319.22018983995,88106.494593715,52254.265930702,225243.7788706,158150.2738538
perlbench_1,1067900.89157756,0.0,733.3960919999998,128308.807988838,0.0,371390.00928475,0.0
imagick_2,580670.7999644399,697494.1716436,754258.35031248,58704.041579895,68978.740770117,157876.6039906,213640.1996971
roms_2,822622.2271715599,521586.52840668,333060.30045224,80333.91702898999,58565.888152645995,188594.94124955,183014.8789206
xz_2,1447666.4482911997,0.0,0.0,211207.00388798898,0.0,456780.0445085,0.0
povray_2,936166.7037346798,350346.2699726,213344.58846231998,118161.568472797,44981.67836505,290390.7917584,122437.91097335
cam4_1,832220.3763457199,455159.82049916,352434.68675576,94805.974137874,54619.995481726,238373.0467336,154285.5375192
deepsjeng_1,1235359.86566148,0.0,0.0,151991.964913073,0.126950458,396381.48860335,0.0
lbm_0,610104.9819975999,1101262.2813334,1129443.17641652,53622.736150966004,153567.83382823798,24534.5396321,347017.3047021
