,RegIntRegfile,RegFloatRegfile,RegMiscRegfile,CAMIntScheduler,CAMFloatScheduler,CAMIntSchedulerSearch,CAMFloatSchedulerSearch,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
gcc_1,1403575.7863759599,0.0,0.0,146753.05508326,0.0,391803.7893149,0.0,1.9421326307741198,0.059827,0.29016932578,2.23230195655412,0.13355192915476333,0.007990011265542026
perlbench_2,1351018.53522232,0.0,733.3984021999999,128308.94683605299,0.0,371390.0148556,0.0,1.8514508953161728,0.053152,0.25779464127999996,2.109245536596173,0.11211061876115977,0.005958903608393164
perlbench_1,1351018.50245003,0.0,733.3960919999998,128308.807988838,0.0,371390.00928475,0.0,1.8514507158156182,0.053151,0.25778979113999995,2.109240506955618,0.11210824218519805,0.005958665180385461
perlbench_0,1351018.42749324,0.0,733.3960919999998,128308.936099746,0.0,371390.0037139,0.0,1.851450763398886,0.053152,0.25779464127999996,2.109245404678886,0.11211061174949215,0.005958903235709007
cactuBSSN_1,1006332.1662789499,445898.45047436,293845.62929107994,110946.657921484,53309.885142344996,202549.31884775,168908.1794278,2.2817902873837688,0.186833,0.9061662066199999,3.187956494003769,0.5956154756442061,0.11128062616103397
cactuBSSN_0,1068253.18488154,400381.90467735997,236632.53324591997,117308.705109792,49860.07491653,215174.8314578,156245.4405411,2.2438566748300417,0.190069,0.9218612596599999,3.1657179344900417,0.6017048420905877,0.11436543763131592
fotonik3d_2,1423532.13220187,0.0,647.2279421999999,136387.901145885,0.0,378751.0686448,0.0,1.939318329934755,0.061369,0.29764824166,2.236966571594755,0.1372804015321985,0.00842476096162949
fotonik3d_1,1423534.9440496499,0.0,647.2279421999999,136388.319773896,0.0,378751.7817136,0.0,1.9393222734793458,0.061369,0.29764824166,2.2369705151393457,0.13728064354358652,0.008424775813626361
fotonik3d_0,1423537.4655061602,0.0,647.2279421999999,136388.700542434,0.0,378752.46321425,0.0,1.9393258572050442,0.061369,0.29764824166,2.236974098865044,0.1372808634732489,0.008424789310489811
cactuBSSN_2,1034288.96040894,404022.91748487996,252595.74609167996,114222.406454154,49021.923544157995,215316.509315,156149.24867415,2.2256177119729617,0.185449,0.8994536128599999,3.1250713248329616,0.5795413521189479,0.10747536420910676
povray_0,1113680.91225511,308042.88371284,185507.94878451998,104439.015945463,36913.148006049,277626.0060414,109007.7299337,2.135217644679082,0.056273,0.27293192821999995,2.408149572899082,0.13551380091575002,0.007625768118932
xalancbmk_1,1465247.93681122,7151.87839,4141.10687476,170943.511295543,1373.847542558,394372.6716615,3631.15616495,2.046862108740531,0.120806,0.5859260128399999,2.632788121580531,0.31805660181565765,0.03842314583894234
xalancbmk_2,1460191.70863379,6448.570210399999,3719.5324793199998,170470.664092288,1253.0793183249998,393968.15553045,3280.5212951,2.0393322315596727,0.119545,0.5798099862999999,2.6191422178596726,0.31310535643403453,0.03743017983490666
povray_1,1177104.97878079,341000.53593248,208324.91858131997,116712.70638092599,43068.919500918,289671.83456995,119194.39126395,2.295078285010334,0.066318,0.32165158452,2.6167298695303343,0.1735362914875127,0.011508579778868868
roms_2,1039580.0963244,521586.23015119997,333060.18725243997,80360.169073783,58433.86843902,188596.967182,183014.57623775,2.404632094660593,0.085315,0.4137896941,2.818421788760593,0.24045365490811002,0.020514303568485406
roms_1,1038205.56526786,550274.8776946799,400355.48973495996,75664.805371617,56111.662641161995,193509.5618321,177945.78980925,2.4920677523516286,0.059917,0.29060583838,2.7826735907316285,0.166729453535867,0.009989928667508542
gcc_2,1585924.64410892,2.4876009199999998,5.994968999999999,188639.532375797,1.684186306,429505.3820286,1.1290256,2.204080854295143,0.097128,0.47108439792,2.675165252215143,0.2598334506171524,0.02523710339154278
povray_2,1184047.49057998,350316.51720536,213338.73210531997,118087.187733762,44942.221073053995,290329.46598465,122426.9791087,2.323488593790826,0.067877,0.32921295278,2.652701546570826,0.18005742287658796,0.012221757692594162
gcc_0,1571361.84417499,84.58011259999999,92.39883767999999,183224.65000868498,16.587594013,427896.67467545,30.14758325,2.182706882986668,0.089066,0.43198256924,2.614689452226668,0.23287993075202043,0.020741683912359452
parest_2,1082246.8458535098,404522.38500892,188736.45357319998,96783.74623578,44212.848426099,233786.8296155,138695.5472193,2.1889846559323085,0.089388,0.43354431431999996,2.6225289702523087,0.23442261959291336,0.020954569120171337
parest_0,1082993.86537671,403809.52923744,188646.21937088,96662.019112331,43990.087815463005,234228.3789004,138191.6786924,2.1885217785056237,0.088729,0.43034807206,2.618869850565624,0.23236970297083726,0.02061793137489942
parest_1,1080634.95045306,404036.05005876,188217.04574672,95312.44211007899,44081.001737999,233637.00531865002,138685.2819997,2.184603777424968,0.084358,0.40914811011999996,2.593751887544968,0.2188037217295184,0.018457844357658713
xalancbmk_0,1606741.5845042798,39.38621144,2.0490860399999997,209538.695131424,9.441303194,436262.84721895,25.0799667,2.2526190834220277,0.228286,1.1072190600399998,3.3598381434620275,0.7670040104183724,0.17509627752236856
wrf_2,908274.30671918,694080.63219356,455060.97656335996,68783.120215007,77630.46612301999,143847.01063265,227925.1886733,2.5756017011200774,0.095407,0.46273730698,3.038339008100077,0.2898788097458041,0.027656467601417933
exchange2_0,1419526.7638921998,0.0,0.0,133880.409654688,0.0,379835.1931938,0.0,1.933242366740688,0.046742,0.22670524388,2.159947610620688,0.1009602712156322,0.00471908499716108
exchange2_1,1408891.04736273,0.0,0.0,132086.675060809,0.0,378088.7391466,0.0,1.919066461570139,0.045512,0.22073957167999997,2.1398060332501387,0.0973868521852803,0.004432270416656477
exchange2_2,1411862.8344119499,0.0,0.0,132975.67008049198,0.0,379080.29288115,0.0,1.9239187973735918,0.045953,0.22287848342,2.1467972807935918,0.09865177544430792,0.004533345036992282
deepsjeng_1,1562948.374241,0.0,0.0,151971.927807354,0.117381328,396358.3602911,0.0,2.1112787797207817,0.062245,0.3018969643,2.4131757440207817,0.15020812418657356,0.009349704689993271
cam4_0,1062679.45399268,434653.09419212,306794.00727808,90667.939351735,51712.200109148995,230234.2948566,151434.0385243,2.328175028304664,0.063114,0.30611173596,2.634286764264664,0.1662603748398,0.010493357297639137
deepsjeng_0,1542772.59406949,0.0,0.0,147547.660288416,0.089949822,389870.6486564,0.0,2.0801909929641282,0.060645,0.2941367403,2.374327733264128,0.14399110538380305,0.008732340586000736
deepsjeng_2,1548648.9687862,0.0,0.0,150030.26626247301,0.149278428,393185.68136725,0.0,2.091865065694351,0.062459,0.30293489426,2.394799959954351,0.1495768106987888,0.009342418019435651
nab_1,826104.61451458,615019.1006686799,521187.70345564,69703.3042481,60979.349274158994,179986.36245305,191506.5627146,2.464486997328809,0.055775,0.27051655849999995,2.7350035558288086,0.1525448233263518,0.008508187521027272
roms_0,1073249.85012203,642314.42196964,412518.56492268,74808.98637111101,78057.97390356599,156175.48737765,215355.29171575,2.6524805763824273,0.097508,0.47292745111999995,3.125408027502427,0.30475228594570664,0.029715785897993962
mcf_2,2071924.3242140799,0.0,0.0,265065.796551628,0.0,492075.0783029,0.0,2.8290651990686078,0.156144,0.75732026016,3.586385459228608,0.5599925711457918,0.08743948002898852
wrf_0,1023208.89428984,473514.15521431994,367616.50714852,91360.029150715,59995.31155130699,224201.3688464,166024.84302515,2.405921109226252,0.069373,0.33646876222,2.742389871446252,0.19024781255184084,0.013198061500158856
wrf_1,909331.08608177,482676.82439039997,384229.86396403995,88563.799389034,52584.728319033995,225709.05811955,157977.74277235,2.301073103036178,0.061426,0.29792469964,2.5989978026761777,0.1596460390271869,0.009806417593283984
cam4_2,963410.69500096,515631.45344432,421461.9239232,84064.55966555499,56613.44085589099,213861.58899,166188.6575833,2.421232319463226,0.058519,0.28382534266,2.705057662123226,0.15829726932978908,0.009263397903909927
cam4_1,1051584.80221178,454863.66496063996,352354.50433416,94739.795311414,54548.675206365995,238076.5958078,154135.08557325,2.40030312340541,0.059506,0.28861243084,2.68891555424541,0.1600066089709274,0.009521353273424005
leela_0,1663579.45815545,1865.20548128,2078.3246610799997,173141.87510057498,281.20623979699997,416875.88440385,833.6034245,2.258655557466532,0.07131,0.34586348339999995,2.604519040866532,0.18572825280419242,0.01324428170746696
leela_1,1665127.39159805,1101.91197792,1382.4184538,167830.723176637,154.05918219,415682.37064425,485.3547354,2.251764229768247,0.067153,0.32570145142,2.5774656811882473,0.17308455288883437,0.011623146980143896
leela_2,1669455.66543695,1095.695665,1373.67687592,169178.435611894,153.42786482499997,416935.35137065,482.9147031,2.2586751675283385,0.067837,0.32901894717999997,2.5876941147083383,0.17554140565946955,0.011908202335721435
namd_0,610438.33387361,893151.17658916,849487.79676716,34246.066178804,93744.05290773901,79370.69465975,293994.35364635,2.854432474622573,0.036892,0.17893136488,3.033363839502573,0.11190685876692892,0.0041284678336295415
imagick_0,731726.31311737,697939.93901528,754751.30062792,58210.148847731,68860.366002829,157671.95138805,213786.531071,2.682946550070179,0.034864,0.16909528095999998,2.852041831030179,0.09943358639703616,0.0034666525561462685
imagick_2,734525.21957698,697494.3919454,754255.5549704799,58749.85789666099,69039.557128808,157885.28151795,213638.24061485,2.6855881036511287,0.035366,0.17153005124,2.8571181548911286,0.10104484066587965,0.0035735518349895
imagick_1,727714.59992549,701759.69470704,758928.7559560799,57851.435428929,69450.563353667,156577.2143698,214924.8822739,2.6872071460149054,0.034488,0.16727162831999998,2.8544787743349054,0.09844526396926222,0.003395180263771915
nab_2,740603.4965141399,769336.94113284,664936.37684688,68587.1301716,80965.86433347099,155167.967587,234585.07485505,2.714182851440981,0.065982,0.32002193747999996,3.034204788920981,0.20020290038258415,0.013209787773043668
bwaves_2,1562557.67337909,576616.82799552,272101.01411343995,98261.127096792,100318.85642047299,178500.3883532,192949.1528916,2.9813050402501156,0.169256,0.8209152958399999,3.8022203360901154,0.6435486052052686,0.10892446272262293
bwaves_1,1543684.09738713,28591.267698559997,25680.836012279997,127360.82071404599,3463.294908717,365766.15821785,9269.03091825,2.103815505856833,0.043291,0.20996741074,2.313782916596833,0.1001659762423935,0.004336285277509457
mcf_1,2255187.12309877,0.0,0.0,298405.527444491,0.0,488659.066508,0.0,3.0422517170512613,0.182233,0.88385556262,3.9261072796712613,0.715466307896333,0.13038157168687245
bwaves_0,1571404.84034239,10367.6297676,9717.76883072,128974.99601846401,1281.848854634,371458.3766129,3455.0077449,2.096660468171608,0.042116,0.20426849623999999,2.300928964411608,0.09690592426515929,0.004081289906351449
nab_0,791600.17958481,762053.77807116,666677.3615168,74487.981943052,82495.790738097,168445.09509375,231036.8240798,2.7767970110274685,0.065625,0.31829043749999997,3.0950874485274684,0.2031151138096151,0.013329429343755993
xz_1,1791106.9355857498,0.0,0.0,203328.352479881,0.0,446965.302409,0.0,2.4414005904746308,0.114324,0.55448740536,2.9958879958346305,0.34250189923579827,0.0391561871282334
xz_2,1811783.86441737,0.0,0.0,205755.443784387,0.0,451528.29093955,0.0,2.469067599141307,0.114128,0.5535367779199999,3.022604377061307,0.3449637923452528,0.03937002769277901
namd_1,647919.89789851,924403.8648619999,746560.11356248,44906.74535011299,84187.670213614,110249.5875296,265457.2158547,2.8236850952710175,0.039347,0.19083845857999998,3.0145235538510176,0.11861245827337599,0.004667044395682525
namd_2,648802.8325852599,937238.6314742799,699560.1793525999,45285.9861751,84048.223255577,111003.1341257,264189.42966595,2.790128416634467,0.039865,0.19335083109999998,2.983479247734467,0.11893640021093453,0.004741399594408905
mcf_0,2010176.83344165,0.0,0.0,248487.22872820098,0.0,490003.2829018,0.0,2.748667345071651,0.160805,0.7799267626999999,3.528594107771651,0.5674155755002204,0.09124326161831293
lbm_1,710356.8915214,1106617.53034564,1140171.1310033598,50238.557291214995,148255.927613792,23201.6023526,348323.93828485,3.527165578412857,0.167734,0.8135333827599999,4.340698961172857,0.7280827995533679,0.1221242403002846
lbm_0,748444.9622418999,1101263.40282224,1129448.1212646,52261.202638481,150286.209006842,24521.0656029,347012.27051065,3.5532372340876126,0.172665,0.8374494231,4.390686657187612,0.7581179116632991,0.13090042921734354
lbm_2,765615.2311092599,1098577.39480164,1127479.97393824,51732.537022553,152205.528838629,24347.06010315,347267.7998293,3.5672255256427716,0.171912,0.83379726768,4.401022793322771,0.7565886304457042,0.13006666463718192
xz_0,1675088.73060013,0.0,0.0,163040.548608961,0.0,421230.49900405,0.0,2.259359778213141,0.065398,0.31718945571999996,2.576549233933141,0.16850116680075955,0.011019639306436072
