,Static,Read,Write,Copies
CombRename,NaN,0.1,NaN,0
Reg#CommitSB,0,0,0,0
Reg#SpecSB,0,0,0,1
Reg#Map,0.160171,0.000188839,0.000336981,1
Reg#RT,0.0678571,9.71E-05,0.00016057,1
Reg#SpecRT,0.0678571,9.71E-05,0.00016057,1
SRAM#Map,0.0853887,0.000138782,0.000244314,16
SRAM#SB,0,0,0,0
SRAM#RT,0.0853887,0.000138782,0.000244314,16
Reg#ARF,0.443825,0.000864826,0.00124114,1
Reg#SpecARF,0.839902,0.00126238,0.00177877,1
Reg#CenterInstBuf,0,0,0,1
Reg#CenterPairBuf,0,0,0,1
Reg#CenterWKBuf,0,0,0,1
Reg#InterGroupWKBuf,0,0,0,0
Queue#TxBuf,0,0,0,4
Queue#PairBuf,0,0,0,4
CombWKNet,NaN,0,NaN,1
CombFWNet,NaN,0,NaN,1
CombSelNet,NaN,0,NaN,1
SRAM#Inst,0.136664,0.000267303,0.000423662,4
SRAM#Pointer,0.0461288,6.01E-05,0.000102332,4
SRAM#Value,0.247024,0.000453903,0.000707989,4
Reg#Valid,0,0,0,4
Reg#Nbusy,0.102444,0.000134487,0.000254228,4
Reg#RxBuf,0,0,0,4
Queue#ReadyInstBuf,0,0,0,4
